furo,de,ate,cli,fegl,sigl,pgl,algl,mngl,pfgl,cagl,mggl,tigl,fogl,f3gl,outros,g1,g2,g3,g4,fe1,si1,p1,al1,mn1,pf1,ca1,mg1,ti1,fo1,f3_1,fe2,si2,p2,al2,mn2,pf2,ca2,mg2,ti2,fo2,f3_2,fe3,si3,p3,al3,mn3,pf3,ca3,mg3,ti3,fo3,f3_3,fe4,si4,p4,al4,mn4,pf4,ca4,mg4,ti4,fo4,f3_4,fgra,fqgl,fq1,fq2,fq3,fq4,rec_am,mid_x,mid_y,mid_z,afe1,asi1,ap1,aal1,amn1,apf1,aca1,amg1,ati1,afo1,afe2,asi2,ap2,aal2,amn2,apf2,aca2,amg2,ati2,afo2,afe3,asi3,ap3,aal3,amn3,apf3,aca3,amg3,ati3,afo3,afe4,asi4,ap4,aal4,amn4,apf4,aca4,amg4,ati4,afo4,ind
DIRFD02,0,7.1,CEL,54.76,2.69,0.12,9.624,0.051,10.886,0.01,0.025,0.475,0.53,,24.06436,30.353,41.009,22.62,6.019,55.429,2.257,0.119,9.256,0.046,10.946,0.01,0.035,0.366,0.743,,54.1,2.95,0.123,10.04,0.057,11.33,0.01,0.02,0.453,0.43,,54.42,3.01,0.12,9.74,0.049,10.52,0.01,0.02,0.629,0.43,,57.157,1.893,0.107,8.206,0.05,8.941,0.01,0.028,0.59,0.508,,100,102.283,102.366,102.457,102.024,101.638,,660679.215,7799913.912,1067.25,1682.436437,68.506721,3.612007,280.947368,1.396238,332.243938,0.303530,1.062355,11.109198,22.552279,2218.586900,120.976550,5.044107,411.730360,2.337513,464.631970,0.410090,0.820180,18.577077,17.633870,1230.980400,68.086200,2.714400,220.318800,1.108380,237.962400,0.226200,0.452400,14.227980,9.726600,344.027983,11.393967,0.644033,49.391914,0.300950,53.815879,0.060190,0.168532,3.551210,3.057652,0
DIRFD02,7.1,13.15,CEL,57.936,4.959,0.141,5.35,0.126,8.156,0.01,0.051,0.285,0.885,,19.33045,23.459,30.956,28.687,16.896,59.093,4.168,0.113,3.561,0.175,9.569,0.01,0.036,0.109,0.731,,56.66,4.96,0.147,6.03,0.12,8.76,0.01,0.03,0.267,0.43,,57.64,6.55,0.145,5.76,0.099,7.16,0.01,0.09,0.344,1.44,,59.176,3.356,0.16,5.892,0.117,6.779,0.01,0.045,0.463,0.992,,100,102.029,102.342,101.508,102.622,101.556,,660679.215,7799913.912,1060.675,1386.262687,97.777112,2.650867,83.537499,4.105325,224.479171,0.234590,0.844524,2.557031,17.148529,1753.966960,153.541760,4.550532,186.664680,3.714720,271.174560,0.309560,0.928680,8.265252,13.311080,1653.518680,187.899850,4.159615,165.237120,2.840013,205.398920,0.286870,2.581830,9.868328,41.309280,999.837696,56.702976,2.703360,99.551232,1.976832,114.537984,0.168960,0.760320,7.822848,16.760832,0
DIRFD02,13.15,19.4,IA,51.397,9.108,0.184,9.017,0.164,8.371,0.01,0.047,1.223,1.245,,28.4532,19.481,35.818,30.051,14.653,47.365,10.659,0.187,11.76,0.13,9.339,0.01,0.048,1.539,0.86,,50.08,9.34,0.191,9.89,0.174,9.02,0.01,0.04,1.332,1.3,,54.1,8.45,0.173,7.22,0.163,7.23,0.01,0.04,1.012,1.44,,54.427,7.824,0.189,6.92,0.187,7.837,0.01,0.077,0.972,1.22,,100.001,101.755,101.574,101.749,101.755,101.993,,660679.215,7799913.912,1054.525,922.717565,207.647979,3.642947,229.096560,2.532530,181.933059,0.194810,0.935088,29.981259,16.753660,1793.765440,334.540120,6.841238,354.240020,6.232332,323.078360,0.358180,1.432720,47.709576,46.563400,1625.759100,253.930950,5.198823,216.968220,4.898313,217.268730,0.300510,1.202040,30.411612,43.273440,797.518831,114.645072,2.769417,101.398760,2.740111,114.835561,0.146530,1.128281,14.242716,17.876660,1
DIRFD02,19.4,25.7,IFR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660679.215,7799913.912,1048.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DIRFD02,25.7,30.6,HF,65.761,3.486,0.032,0.873,0.097,0.777,0.009,0.01,0.043,1.392,,5.4226,22.484,18.602,26.425,32.488,68.506,0.973,0.022,0.811,0.03,0.609,0.004,0.01,0.044,0.246,,64.73,4.74,0.04,0.92,0.148,0.91,0.01,0.01,0.022,0.86,,66.63,2.34,0.03,0.94,0.101,0.92,0.01,0.01,0.028,3.21,,63.748,5.44,0.036,0.836,0.112,0.701,0.01,0.01,0.067,1.011,,100,99.261,100.457,99.344,99.351,98.316,,660679.215,7799913.912,1042.65,1540.288904,21.876932,0.494648,18.234524,0.674520,13.692756,0.089936,0.224840,0.989296,5.531064,1204.107460,88.173480,0.744080,17.113840,2.753096,16.927820,0.186020,0.186020,0.409244,15.997720,1760.697750,61.834500,0.792750,24.839500,2.668925,24.311000,0.264250,0.264250,0.739900,84.824250,2071.045024,176.734720,1.169568,27.159968,3.638656,22.774088,0.324880,0.324880,2.176696,32.845368,1
DIRFD02,30.6,35.45,HF,65.925,4.757,0.035,0.73,0.083,0.843,0.009,0.016,0.013,0.845,,6.57763,25.826,17.96,15.336,40.879,68.97,0.895,0.019,0.505,0.022,0.44,0.005,0.01,0.008,0.754,,67.13,3.19,0.033,0.77,0.071,1.08,0.01,0.01,0.023,1.22,,63.58,7.7,0.065,0.95,0.14,0.84,0.01,0.03,0.011,1.44,,64.35,6.78,0.034,0.773,0.105,0.994,0.01,0.017,0.012,0.514,,100,100.712,100.458,101.09,100.611,100.742,,660679.215,7799913.912,1037.775,1781.219220,23.114270,0.490694,13.042130,0.568172,11.363440,0.129130,0.258260,0.206608,19.472804,1205.654800,57.292400,0.592680,13.829200,1.275160,19.396800,0.179600,0.179600,0.413080,21.911200,975.062880,118.087200,0.996840,14.569200,2.147040,12.882240,0.153360,0.460080,0.168696,22.083840,2630.563650,277.159620,1.389886,31.599467,4.292295,40.633726,0.408790,0.694943,0.490548,21.011806,1
DIRFD02,35.45,39.8,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660679.215,7799913.912,1033.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
DIRFD02,39.8,46.25,IFRGO,57.891,8.952,0.166,1.199,0.499,7.871,0.01,0.01,0.022,0.286,,19.22258,12.658,31.367,43.459,12.515,60.196,4.828,0.175,1.183,0.39,8.299,0.01,0.01,0.024,0.334,,59.33,6.51,0.178,1.31,0.523,8.52,0.01,0.01,0.025,0.14,,56.09,11.69,0.155,1.11,0.523,7.4,0.01,0.01,0.02,0.29,,58.211,9.735,0.168,1.243,0.465,7.447,0.01,0.01,0.02,0.59,,100,101.824,101.284,102.277,101.43,102.609,,660679.215,7799913.912,1027.775,761.960968,61.112824,2.215150,14.974414,4.936620,105.048742,0.126580,0.126580,0.303792,4.227772,1861.004110,204.199170,5.583326,41.090770,16.404941,267.246840,0.313670,0.313670,0.784175,4.391380,2437.615310,508.035710,6.736145,48.239490,22.729057,321.596600,0.434590,0.434590,0.869180,12.603110,728.510665,121.833525,2.102520,15.556145,5.819475,93.199205,0.125150,0.125150,0.250300,7.383850,1
DIRFD02,46.25,52.5,IFRGO,56.192,9.618,0.108,2.449,0.426,8.283,0.01,0.01,0.082,1.37,,21.36388,15.591,37.746,36.57,10.093,58.863,2.301,0.14,5.65,0.11,8.164,0.01,0.01,0.245,0.675,,58.26,6.08,0.113,2.5,0.402,9.18,0.01,0.01,0.081,1.44,,52.67,16.11,0.092,1.37,0.569,7.68,0.01,0.01,0.028,1.73,,57.097,10.632,0.093,1.219,0.485,7.292,0.01,0.01,0.03,0.877,,100,101.433,100.924,101.773,101.263,101.566,,660679.215,7799913.912,1021.425,917.733033,35.874891,2.182740,88.089150,1.715010,127.284924,0.155910,0.155910,3.819795,10.523925,2199.081960,229.495680,4.265298,94.365000,15.173892,346.508280,0.377460,0.377460,3.057426,54.354240,1926.141900,589.142700,3.364440,50.100900,20.808330,280.857600,0.365700,0.365700,1.023960,63.266100,576.280021,107.308776,0.938649,12.303367,4.895105,73.598156,0.100930,0.100930,0.302790,8.851561,1
DIRFD02,52.5,58.5,IFRGO,58.904,7.542,0.174,1.183,0.498,7.127,0.01,0.01,0.018,0.722,,17.06534,22.48,33.856,27.054,16.61,62.055,3.136,0.187,1.019,0.181,7.573,0.01,0.01,0.011,0.58,,58.99,6.41,0.194,1.31,0.428,7.8,0.01,0.01,0.014,0.32,,55.81,12.58,0.156,1.17,0.758,6.71,0.01,0.01,0.022,1.58,,59.504,7.605,0.146,1.165,0.644,5.829,0.01,0.01,0.027,0.334,,100,101.065,101.075,100.854,101.454,100.848,,660679.215,7799913.912,1015.3,1394.996400,70.497280,4.203760,22.907120,4.068880,170.241040,0.224800,0.224800,0.247280,13.038400,1997.165440,217.016960,6.568064,44.351360,14.490368,264.076800,0.338560,0.338560,0.473984,10.833920,1509.883740,340.339320,4.220424,31.653180,20.506932,181.532340,0.270540,0.270540,0.595188,42.745320,988.361440,126.319050,2.425060,19.350650,10.696840,96.819690,0.166100,0.166100,0.448470,5.547740,1
